customer_id,segment,age,gender,state,occupation,registration_date,annual_income
C00001,retail,24,M,Hidalgo,Teacher,2024-07-18 15:37:41.417566816,533699.4237223046
C00002,SME,28,M,Colima,Business Owner,2021-03-16 15:35:18.337963004,908043.3978855272
C00003,retail,46,M,Quintana Roo,Accountant,2024-11-16 01:03:41.170917616,1044205.2530566233
C00004,retail,27,M,Puebla,Freelancer,2022-03-12 12:34:21.835015382,336918.8611854597
C00005,retail,55,F,Sonora,Government Employee,2024-11-10 04:05:54.511634800,449356.4806981679
C00006,retail,41,F,Baja California,Engineer,2024-09-20 16:13:48.729433029,609757.5076910022
C00007,retail,43,F,Durango,Freelancer,2024-10-22 03:15:15.959427405,697501.046430705
C00008,retail,38,F,Chihuahua,Accountant,2022-01-08 23:02:02.371033317,971798.5270002491
C00009,retail,51,F,Michoacán,Consultant,2021-01-06 00:04:09.106286395,900384.4984215
C00010,retail,51,F,Durango,Engineer,2023-02-10 10:21:49.148970872,599624.4511978722
C00011,retail,46,M,México,Retired,2021-10-15 03:45:52.703087370,434465.14512255724
C00012,SME,48,M,Puebla,Student,2023-09-12 12:48:35.905857186,297799.5916385203
C00013,retail,39,F,Oaxaca,Lawyer,2020-10-11 05:20:12.834029347,613269.7056467674
C00014,retail,48,F,Durango,Consultant,2024-03-06 00:57:00.722958722,1255997.433314759
C00015,retail,37,M,Guanajuato,Engineer,2024-05-02 14:34:52.774955346,968558.3576115891
C00016,retail,42,M,Puebla,Consultant,2020-08-03 04:16:37.930757300,1710081.9393217973
C00017,retail,38,F,Sinaloa,Student,2020-04-22 06:42:35.533780789,269543.64562550304
C00018,retail,36,M,Tamaulipas,Accountant,2020-06-18 13:56:08.375122752,452099.424385836
C00019,retail,33,M,Tlaxcala,Engineer,2022-07-28 06:41:45.325607208,823309.77340908
C00020,retail,47,F,Baja California,Teacher,2022-04-18 12:45:41.213987742,331499.91051372036
C00021,retail,57,F,Querétaro,Accountant,2024-01-26 22:26:48.915080999,833899.3451440562
C00022,retail,56,F,Yucatán,Retired,2020-10-06 07:18:46.941628900,284664.2741496649
C00023,retail,26,F,Tabasco,Government Employee,2020-03-28 18:19:48.402677807,333890.4139371153
C00024,retail,57,F,Sinaloa,Student,2022-07-22 03:40:48.950477256,216723.68335958087
C00025,retail,38,F,Tamaulipas,Consultant,2022-02-01 14:16:39.580612413,1908248.6837674745
C00026,retail,49,M,Durango,Government Employee,2025-04-15 09:18:46.186201622,796998.2840686659
C00027,retail,31,M,Tlaxcala,Student,2023-09-21 16:55:00.193495475,180483.12205879204
C00028,retail,43,F,Zacatecas,Retired,2025-08-15 03:30:39.536008091,378127.88629170763
C00029,retail,45,M,Puebla,Teacher,2024-01-02 03:27:38.121487799,306999.1756849314
C00030,retail,24,M,Guerrero,Business Owner,2025-03-17 01:26:09.650544017,1965537.3430691338
C00031,retail,49,M,Guanajuato,Government Employee,2024-06-30 03:49:54.146301862,779845.2087075205
C00032,retail,58,M,Querétaro,Accountant,2025-04-08 14:04:51.921264158,931845.8299551603
C00033,retail,39,M,México,Doctor,2025-06-07 15:39:22.468981834,1362876.2695247554
C00034,SME,58,F,Sonora,Government Employee,2022-01-06 08:05:49.868407456,936993.9777338508
C00035,SME,39,M,Tamaulipas,Student,2020-06-17 13:09:29.662996567,223895.55400486419
C00036,retail,52,M,Campeche,Teacher,2023-09-15 13:54:23.760477297,645039.949380052
C00037,retail,18,F,Chiapas,Student,2020-02-03 15:42:59.612327092,267320.9751631426
C00038,retail,71,F,San Luis Potosí,Retired,2021-07-13 03:18:33.651769635,491990.66969897936
C00039,retail,59,M,Tamaulipas,Accountant,2020-07-08 15:29:25.057026670,1068242.4867701195
C00040,retail,38,F,Aguascalientes,Accountant,2021-05-17 18:13:46.071688851,1063419.6007417738
C00041,retail,18,F,Aguascalientes,Student,2020-10-16 09:49:01.174347402,287713.4113167282
C00042,retail,45,F,Durango,Doctor,2022-07-15 18:53:58.631175067,941559.3276782287
C00043,retail,24,M,Campeche,Doctor,2020-06-08 12:02:16.469445800,945520.9321249306
C00044,SME,47,F,Hidalgo,Accountant,2022-02-11 09:49:55.265905736,1030702.9672097154
C00045,retail,46,F,Jalisco,Freelancer,2021-08-28 20:03:06.184624924,597913.5488139979
C00046,retail,30,F,Sonora,Government Employee,2022-03-23 09:14:29.964747511,858211.7795817241
C00047,retail,55,M,Nuevo León,Sales,2024-04-25 17:18:02.604702370,696512.0898597436
C00048,retail,51,F,Chiapas,Engineer,2020-05-21 19:05:45.820716754,1033650.5170518149
C00049,retail,53,F,Guanajuato,Consultant,2021-09-14 03:41:02.821504638,539410.7754762368
C00050,retail,42,M,Sonora,Lawyer,2020-10-23 19:42:11.359823463,1115948.970904784
C00051,SME,25,M,Colima,Government Employee,2021-09-19 20:43:36.863923396,899966.3111309245
C00052,retail,53,F,Aguascalientes,Government Employee,2022-09-12 10:42:49.376993356,642948.4408994992
C00053,SME,38,M,Chiapas,Sales,2020-07-05 06:39:33.057217832,698587.7370763051
C00054,retail,25,F,Veracruz,Teacher,2021-03-07 19:58:13.878376769,602381.5171297715
C00055,retail,58,M,Puebla,Government Employee,2021-07-02 07:51:45.950654809,384530.9871089747
C00056,SME,67,M,Nayarit,Retired,2025-05-24 05:52:22.587494177,320085.6614572082
C00057,retail,41,F,Hidalgo,Consultant,2020-01-26 19:02:03.290182281,1586831.1513151536
C00058,retail,67,M,Chiapas,Retired,2020-03-21 04:57:38.434722450,274556.8020944869
C00059,retail,43,F,San Luis Potosí,Doctor,2024-08-18 02:48:57.086822264,1039327.0649634781
C00060,retail,37,F,Sonora,Doctor,2021-08-13 06:06:24.428357070,1442659.4348998803
C00061,retail,34,F,Coahuila,Retired,2025-06-11 11:31:21.018077949,508460.70364288695
C00062,retail,61,F,Guerrero,Doctor,2024-04-02 15:49:12.672690042,1437335.896823523
C00063,retail,32,F,Baja California,Lawyer,2021-07-03 05:22:09.798851772,971300.0511858452
C00064,retail,50,M,Hidalgo,Freelancer,2023-02-24 02:42:17.992496586,836627.045763506
C00065,retail,35,F,Jalisco,Retired,2021-07-29 10:40:20.937963743,379034.53431590786
C00066,retail,36,M,Chihuahua,Lawyer,2025-02-27 16:01:55.240206661,733346.268040288
C00067,retail,54,M,Michoacán,Accountant,2025-12-25 13:25:55.327524412,1093487.710870815
C00068,retail,37,F,Durango,Teacher,2022-11-06 03:54:16.739388873,370493.03601272305
C00069,retail,37,F,Tlaxcala,Student,2024-06-07 02:21:30.636149017,202618.09506476828
C00070,corporate,55,M,Tabasco,Retired,2025-04-30 07:07:33.456436331,628864.1079299813
C00071,retail,61,M,Guanajuato,Government Employee,2025-04-27 21:53:40.730634383,861566.6919984706
C00072,retail,49,F,Aguascalientes,Lawyer,2024-05-28 07:28:07.707184425,1773396.8150857994
C00073,retail,34,M,México,Doctor,2021-03-14 08:54:40.619822267,850220.8825560254
C00074,retail,35,F,Michoacán,Lawyer,2025-10-02 00:07:38.804152807,712950.8053539697
C00075,retail,42,F,Durango,Business Owner,2025-01-10 06:06:42.721481747,2629470.627615639
C00076,retail,45,M,Durango,Engineer,2024-05-14 06:56:06.699940802,914223.7937788719
C00077,retail,30,M,Baja California Sur,Consultant,2025-04-15 02:24:42.303607448,557043.8124471449
C00078,retail,50,F,Guanajuato,Consultant,2024-09-20 08:39:30.120506321,737584.8524149922
C00079,retail,43,M,Guanajuato,Teacher,2022-01-21 11:28:58.880722790,581334.8884256368
C00080,retail,21,M,Michoacán,Student,2024-10-18 16:50:58.899621064,260225.441366343
C00081,retail,30,M,Chihuahua,Accountant,2024-12-11 15:42:33.160848297,462780.43219759664
C00082,retail,35,M,Veracruz,Retired,2021-12-16 15:49:15.963489128,669250.7150001952
C00083,retail,41,M,Ciudad de México,Sales,2024-12-22 05:06:05.898223542,415596.7280359515
C00084,retail,64,F,Aguascalientes,Doctor,2024-10-06 00:20:20.514012891,1421062.339764682
C00085,retail,44,F,Tamaulipas,Doctor,2021-12-18 02:57:59.305006615,1446092.642382613
C00086,retail,31,F,Chihuahua,Business Owner,2025-04-26 16:16:36.546347610,2807300.2455970016
